2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 95
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 96
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 97
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 98
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 99
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Earned 30.00 bonuses for user 1, order 1
2026-05-27 01:03:17 | INFO     | mayss | Spent 10 bonuses for user 1, order 2
2026-05-27 01:03:17 | INFO     | mayss | RES | IP: testclient | GET /api/v1/bonuses/balance | Status: 401 | Time: 0.43ms
2026-05-27 01:03:17 | INFO     | httpx | HTTP Request: GET http://testserver/api/v1/bonuses/balance "HTTP/1.1 401 Unauthorized"
2026-05-27 01:03:25 | INFO     | app.core.logger | Система логирования инициализирована. Debug режим: False
2026-05-27 01:03:25 | INFO     | mayss | Starting MAYSS Marketplace API
2026-05-27 01:03:38 | INFO     | mayss | RES | IP: testclient | GET /api/v1/bonuses/balance | Status: 401 | Time: 0.38ms
2026-05-27 01:03:38 | INFO     | httpx | HTTP Request: GET http://testserver/api/v1/bonuses/balance "HTTP/1.1 401 Unauthorized"
2026-05-27 01:03:48 | INFO     | app.core.logger | Система логирования инициализирована. Debug режим: False
2026-05-27 01:03:48 | INFO     | mayss | Starting MAYSS Marketplace API
2026-05-27 01:04:01 | INFO     | mayss | RES | IP: testclient | GET /api/v1/bonuses/balance | Status: 401 | Time: 0.38ms
2026-05-27 01:04:01 | INFO     | httpx | HTTP Request: GET http://testserver/api/v1/bonuses/balance "HTTP/1.1 401 Unauthorized"
2026-05-27 01:04:34 | INFO     | app.core.logger | Система логирования инициализирована. Debug режим: False
2026-05-27 01:04:34 | INFO     | mayss | Starting MAYSS Marketplace API
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Earned 30.00 bonuses for user 1, order 42
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Earned 50.00 bonuses for user 1, order 42
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Earned 30.00 bonuses for user 1, order 42
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Spent 50.00 bonuses for user 1, order 42
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Spent 500.00 bonuses for user 1, order 42
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | WARNING  | mayss | User 1 insufficient bonuses: has 10.00, needs 50.00
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Spent 50.00 bonuses for user 1, order 42
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Adjusted 100.00 bonuses for user 1: Initial bonus
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Adjusted -50.00 bonuses for user 1: Penalty
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | WARNING  | mayss | User 1 bonus balance adjusted below 0, clamped to 0
2026-05-27 01:04:48 | INFO     | mayss | Adjusted -100.00 bonuses for user 1: Overpayment correction
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Earned 30.00 bonuses for user 1, order 1
2026-05-27 01:04:48 | INFO     | mayss | Earned 15.00 bonuses for user 1, order 2
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Earned 30.00 bonuses for user 1, order 1
2026-05-27 01:04:48 | INFO     | mayss | Spent 50 bonuses for user 1, order 2
2026-05-27 01:04:48 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:04:48 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 0
2026-05-27 01:04:48 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 1
2026-05-27 01:04:48 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 2
